AreaName,Labor-Force,Employment,Unemployment-Number,Unemployment-Rate,CensusRatios-Emp,Census Ratios-Unemp
Pollock Pines CDP,"3,200","3,000",100,4.00%,0.035967,0.0281
Shingle Springs CDP,"2,300","2,200",100,3.20%,0.026333,0.01622
South Lake Tahoe city,"11,600","10,900",700,5.90%,0.129759,0.15045
Fresno County                                               ,"445,000","402,700","42,300",9.50%,1,1
Auberry CDP,900,900,0,4.60%,0.002154,0.000991
Biola CDP,500,400,100,17.20%,0.001098,0.002176
Calwa CDP,700,600,100,13.50%,0.001411,0.002117
Cantua Creek CDP,100,100,0,10.40%,0.000321,0.00035
Caruthers CDP,"1,400","1,300",100,9.00%,0.003268,0.003069
Clovis city,"51,700","49,000","2,700",5.30%,N/A,N/A
Coalinga city,"6,000","5,500",500,8.50%,0.013556,0.011977
Del Rey CDP,500,500,0,6.80%,0.001156,0.000816
Easton CDP,"1,200","1,100",100,11.20%,0.002659,0.003205
Firebaugh city,"3,900","3,500",500,11.70%,0.008635,0.010934
Fowler city,"2,800","2,600",200,7.80%,0.006385,0.005136
Fresno city,"230,600","213,000","17,600",7.70%,N/A,N/A
Friant CDP,200,100,0,24.40%,0.000363,0.001107
Huron city,"2,700","2,500",200,7.60%,0.006149,0.004813
Kerman city,"6,600","6,100",500,8.00%,0.015166,0.012526
Kingsburg city,"5,500","5,000",400,8.00%,0.012536,0.010385
Lanare CDP,100,100,0,17.30%,0.000202,0.000408
Laton CDP,800,700,100,9.00%,0.001766,0.001651
Mendota city,"5,000","3,900","1,100",22.10%,0.00966,0.026171
Orange Cove city,"3,500","3,000",500,14.50%,0.007338,0.011844
Parlier city,"6,600","5,800",800,11.70%,0.014479,0.018211
Raisin City CDP,100,100,0,2.20%,0.000215,0.000039
Reedley city,"13,300","10,600","2,700",20.40%,N/A,N/A
Riverdale CDP,"1,600","1,400",200,10.90%,0.003444,0.004021
San Joaquin city,"1,300","1,200",100,6.70%,0.003091,0.002141
Sanger city,"11,600","10,300","1,300",10.80%,N/A,N/A
Selma city,"10,500","9,500","1,000",9.20%,0.023567,0.022816
Shaver Lake CDP,300,300,0,2.40%,0.000712,0.000155
Squaw Valley CDP,"1,300","1,100",100,10.90%,0.002843,0.003322
Tranquillity CDP,200,200,0,0.00%,0.000617,0
Glenn County                                                ,"12,960","11,880","1,080",8.30%,1,1
Hamilton City CDP,840,790,50,5.60%,0.066704,0.04352
Orland city,"3,760","3,350",410,10.90%,0.281725,0.38152
Willows city,"2,750","2,530",220,8.00%,0.212662,0.20359
Kings County                                                ,"57,200","51,500","5,700",10.00%,1,1
Armona CDP,"1,500","1,200",200,15.70%,0.023805,0.0402
Avenal city,"3,900","3,500",500,11.90%,0.067472,0.08255
Corcoran city,"4,700","3,900",900,18.00%,N/A,N/A
Hanford city,"24,400","22,300","2,100",8.60%,N/A,N/A
Home Garden CDP,700,600,100,15.40%,0.011912,0.01959
Kettleman City CDP,700,700,100,9.20%,0.012854,0.01176
Lemoore city,"11,800","10,900",900,7.30%,N/A,N/A
Lemoore Station CDP,"1,300","1,100",200,12.10%,0.021692,0.027
Stratford CDP,500,400,100,19.80%,0.007685,0.01713
Humboldt County                                             ,"62,500","59,400","3,100",4.90%,1,1
Arcata city,"9,000","8,200",800,8.90%,0.137502,0.25839
Blue Lake city,600,600,0,2.70%,0.009576,0.00528
Eureka city,"12,800","12,100",600,4.80%,N/A,N/A
Ferndale city,600,600,0,3.00%,0.010361,0.00624
Fortuna city,"5,000","4,800",200,4.60%,0.080449,0.07499
