AreaName,Labor-Force,Employment,Unemployment-Number,Unemployment-Rate,CensusRatios-Emp,CensusRatios-Unemp
Mountain Ranch CDP,410,380,30,7.30%,0.018599,0.035909
Murphys CDP,890,870,30,2.90%,0.042342,0.031226
Rancho Calaveras CDP,"3,120","3,000",120,3.90%,0.146044,0.14598
San Andreas CDP,"1,520","1,490",30,2.00%,0.072723,0.035129
Valley Springs CDP,"2,010","1,990",30,1.20%,0.097004,0.029664
West Point CDP,180,180,0,0.00%,0.008612,0
Biggs city,800,800,100,6.00%,0.008155,0.010076
Chico city,"48,700","46,900","1,900",3.80%,N/A,N/A
Concow CDP,200,200,0,9.40%,0.001884,0.003752
Durham CDP,"3,000","2,900",100,2.70%,0.029613,0.015757
Gridley city,"2,800","2,700",200,5.70%,0.027162,0.031515
Magalia CDP,"4,700","4,400",200,4.60%,0.045452,0.04202
Oroville city,"6,800","6,500",300,4.80%,0.066332,0.063994
Oroville East CDP,"2,900","2,800",200,5.20%,0.028639,0.030228
Palermo CDP,"2,100","1,900",200,10.40%,0.019018,0.042448
Paradise town,"11,300","10,700",500,4.70%,N/A,N/A
South Oroville CDP,"1,100","1,100",100,7.80%,0.010777,0.01758
Thermalito CDP,"2,500","2,300",200,7.60%,0.023213,0.036874
Arbuckle CDP,"1,920","1,620",300,15.80%,0.169588,0.214527
Colusa city,"3,020","2,660",360,12.00%,0.278036,0.255068
Williams city,"2,820","2,530",290,10.30%,0.265153,0.206081
Alamo CDP,"7,100","6,900",100,2.10%,0.012704,0.008201
Antioch city,"51,300","49,200","2,100",4.10%,N/A,N/A
Bay Point CDP,"11,200","10,500",700,6.40%,0.019135,0.040352
Bethel Island CDP,900,900,0,1.30%,0.001606,0.000679
Brentwood city,"29,100","28,100","1,000",3.40%,N/A,N/A
Byron CDP,700,700,0,3.90%,0.001315,0.00161
Clayton city,"6,100","6,000",100,1.80%,0.010923,0.006189
Clyde CDP,600,600,0,1.40%,0.001141,0.000478
Concord city,"66,500","64,600","1,900",2.80%,N/A,N/A
Crockett CDP,"1,700","1,700",100,3.70%,0.003022,0.003522
Danville town,"21,000","20,400",600,2.80%,N/A,N/A
Diablo CDP,100,100,0,0.00%,0.000254,0
Discovery Bay CDP,"7,800","7,600",200,3.10%,0.013905,0.013535
